file,round,process,target,metric,operand,compression,communication
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,1,0,internode_time,B,0.104128,0.161082
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,2,internode_time,A,4.834688,0.821361
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,1,internode_time,A,2.129728,11.339952
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,2,internode_time,B,4.84496,51.615421
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,0,internode_time,A,28.364,13.563367
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,1,internode_time,B,25.357824,8.493367
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,3,internode_time,B,6.129024,1.768335
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,2,3,internode_time,A,4.248672,0.886177
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,0,internode_time,A,0.218528,9.851397
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,14,1,internode_time,A,0.206496,0.584765
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,11,0,internode_time,B,0.216192,0.538329
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,3,internode_time,A,4.838976,0.826801
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,0,internode_time,B,8.37824,9.433525
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,7,3,internode_time,B,6.713664,28.838589
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,0,internode_time,B,5.781728,24.1527
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,3,internode_time,B,6.28304,1.177442
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,0,internode_time,A,6.503616,1.083722
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,8,3,internode_time,A,17.710785,25.466856
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,3,internode_time,A,9.35088,13.838033
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,13,3,internode_time,B,19.357599,0.847314
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,6,1,internode_time,B,0.321408,0.162935
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,0,internode_time,B,0.51424,18.665508
hns_4x4x1_nlpkkt160_main_Acsc_spcomm.out,1,10,0,internode_time,A,0.510368,20.360241
